grid_size,initial_density,initial_complexity,initial_energy,r_mean,r_noise,env_sigma,birth_energy_threshold,p_down,gamma,beta,p_up,r,final_alive_ratio,final_c_mean,final_pc_serial,final_pc_env,collapse_detected,max_c_mean,min_alive_ratio,pc_serial_correlation,pc_env_correlation,c_p_correlation
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.03,0.995,0.994,1.056338028169014,1.047722724883405,1.037816086442286,False,1.0875502008032127,0.5824,0.6265247297561732,0.43242922220931973,-0.9999999791709676
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.05,0.95,0.9868,1.090798540737738,1.0020895389257658,1.071404265875061,False,1.1292407108239095,0.5496,0.08408112784784914,0.06416616646527645,-0.999992355935552
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.05,0.98,0.994,1.1078470824949698,1.0712161419719832,1.0880149777371049,False,1.139450282942603,0.5484,0.6752077328366558,0.5175221982005491,-0.9999993898741303
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.05,0.99,0.9956,1.0827641623141824,1.0649618538674073,1.063574783951377,False,1.1337349397590362,0.57,0.22131941920048526,0.18610668133869374,-0.9999999175692688
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.05,0.995,0.998,1.0953907815631263,1.0863295501741352,1.075878979651756,False,1.116633266533066,0.58,0.4039142355007744,0.28473669122631573,-0.9999999545328881
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.08,0.95,0.9844,1.1840715156440471,1.084703414833246,1.1622311548085007,False,1.1992724333063864,0.5324,0.06466965649350202,0.052973238788229154,-0.9999909567660582
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.08,0.98,0.992,1.155241935483871,1.1164053825250615,1.1341708819727807,False,1.2220434432823812,0.5696,0.2581494804883041,0.21544052369350034,-0.9999992298320938
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.08,0.99,0.9948,1.1519903498190591,1.1325783522255974,1.1310053197391032,False,1.2167804094741068,0.5836,0.4426166170979602,0.3943381734213618,-0.9999998943672291
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.08,0.995,0.9944,1.1536604987932422,1.1439170458989538,1.1326313023567574,False,1.2032128514056224,0.58,0.17089285037945182,0.14768412863009364,-0.9999999672569854
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.1,0.95,0.9864,1.2043795620437956,1.1026276110303046,1.1819901708187401,False,1.262474645030426,0.5392,0.035640705843154125,0.032319222975810705,-0.9999888317634447
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.1,0.98,0.9932,1.221506242448651,1.1795000375407616,1.1986492566916724,False,1.265669227658714,0.5664,0.6684897619739659,0.5781117240385243,-0.9999992647680134
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.1,0.99,0.9968,1.206661316211878,1.1859379884358927,1.1842098698690817,False,1.2345132743362832,0.5756,0.3001675679359859,0.24495807500033237,-0.999999710801748
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.3,0.1,0.995,0.994,1.2185110663983902,1.2079845751826848,1.1957361571544114,False,1.2642570281124499,0.582,0.4931397068936776,0.4524736392873978,-0.9999999649502999
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.5,0.03,0.95,0.9868,1.053100932306445,0.9685646144573239,1.029386824744073,False,1.0798217179902756,0.526,0.09430143380555599,0.04333904366941082,-0.9999946809093015
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.5,0.03,0.98,0.992,1.047983870967742,1.0140637767854077,1.0244487372100524,False,1.0815831987075928,0.5652,0.14909095908617642,0.0742818466999366,-0.9999994587684762
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.5,0.03,0.99,0.9976,1.0505212510024058,1.0334494116872974,1.0268974479136346,False,1.082059533386967,0.5756,0.4662710768787437,0.21270252574543758,-0.9999999395990578
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.5,0.03,0.995,0.9968,1.0557784911717496,1.0471695112056751,1.031970485497977,False,1.0758426966292134,0.5756,0.7578414312070078,0.3411290642864659,-0.9999999736599844
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.5,0.5,0.05,0.95,0.988,1.0789473684210527,0.9915595257498648,1.05431974536598,False,1.125456760048721,0.5372,0.2091843094730831,0.1011646934517753,-0.9999915440272338
